,COUNTY,STATE,COUNTYFIPS
0,ABBEVILLE,SC,45001
2,ADA,ID,16001
9,ADAMS,IN,18001
14,ADAMS,PA,42001
17,ADDISON,VT,50001
18,AGUADILLA,PR,72005
20,AIKEN,SC,45003
22,ALACHUA,FL,12001
23,ALAMANCE,NC,37001
28,ALBEMARLE,VA,51003
29,ALCORN,MS,28003
32,ALEXANDRIA,VA,51510
35,ALLEGAN,MI,26005
36,ALLEGANY,MD,24001
40,ALLEGHENY,PA,42003
41,ALLEN,IN,18003
43,ALLEN,KY,21003
45,ALLEN,OH,39003
51,ANDERSON,SC,45007
55,ANDROSCOGGIN,ME,23001
56,ANGELINA,TX,48005
57,ANNE ARUNDEL,MD,24003
58,ANOKA,MN,27003
66,ARECIBO,PR,72013
69,ARLINGTON,VA,51013
70,ARMSTRONG,PA,42005
71,AROOSTOOK,ME,23003
73,ASCENSION,LA,22005
78,ASHTABULA,OH,39007
85,ATLANTIC,NJ,34001
86,ATOKA,OK,40005
90,AUGLAIZE,OH,39011
91,AUGUSTA,VA,51015
103,BALTIMORE,MD,24005
104,BALTIMORE,MD,24510
105,BALTIMORE CITY,MD,24510
112,BARNSTABLE,MA,25001
116,BARROW,GA,13013
119,BARTHOLOMEW,IN,18005
122,BARTOW,GA,13015
127,BAY,FL,12005
128,BAY,MI,26017
134,BEAUFORT,SC,45013
137,BEAVER,PA,42007
142,BEDFORD,PA,42009
143,BEDFORD,TN,47003
145,BEE,TX,48025
146,BELKNAP,NH,33001
148,BELL,TX,48027
149,BELMONT,OH,39013
154,BENNINGTON,VT,50003
156,BENTON,IA,19011
157,BENTON,OR,41003
158,BENTON,TN,47005
161,BERGEN,NJ,34003
162,BERKELEY,WV,54003
163,BERKS,PA,42011
164,BERKSHIRE,MA,25003
165,BERNALILLO,NM,35001
167,BERRIEN,MI,26021
170,BEXAR,TX,48029
172,BIBB,GA,13021
178,BLACK HAWK,IA,19013
181,BLAINE,ID,16013
184,BLAIR,PA,42013
185,BLECKLEY,GA,13023
188,BLOUNT,TN,47009
189,BLUE EARTH,MN,27013
199,BOONE,KY,21015
200,BOONE,MO,29019
210,BOWIE,TX,48037
214,BOYD,KY,21019
217,BRADFORD,FL,12007
218,BRADFORD,PA,42015
220,BRADLEY,TN,47011
224,BRAZOS,TX,48041
228,BREVARD,FL,12009
230,BRISTOL,MA,25005
236,BROOKS,GA,13027
239,BROWARD,FL,12011
243,BROWN,OH,39015
248,BRUNSWICK,NC,37019
251,BUCHANAN,MO,29021
253,BUCKS,PA,42017
254,BUENA VISTA,IA,19021
256,BULLOCH,GA,13031
258,BUNCOMBE,NC,37021
261,BURKE,NC,37023
264,BURLINGTON,NJ,34005
272,BUTLER,OH,39017
273,BUTLER,PA,42019
277,CABARRUS,NC,37025
279,CABO ROJO,PR,72023
281,CADDO,LA,22017
285,CALCASIEU,LA,22019
286,CALDWELL,KY,21033
294,CALHOUN,MI,26025
295,CALHOUN,MS,28013
297,CALLAWAY,MO,29027
298,CALLOWAY,KY,21035
300,CALVERT,MD,24009
301,CAMBRIA,PA,42021
303,CAMDEN,MO,29029
304,CAMDEN,NJ,34007
306,CAMERON,TX,48061
311,CANADIAN,OK,40017
314,CANYON,ID,16027
316,CAPE MAY,NJ,34009
318,CARBON,PA,42025
328,CARROLL,NH,33003
329,CARROLL,TN,47017
333,CARTER,TN,47019
334,CARTERET,NC,37031
335,CARVER,MN,27019
342,CASS,MO,29037
343,CASS,ND,38017
344,CASS,TX,48067
347,CATAWBA,NC,37035
348,CATOOSA,GA,13047
353,CECIL,MD,24015
355,CENTRE,PA,42027
359,CHAMBERS,TX,48071
360,CHAMPAIGN,IL,17019
361,CHAMPAIGN,OH,39021
362,CHARLES,MD,24017
364,CHARLESTON,SC,45019
366,CHARLOTTE,FL,12015
367,CHARLOTTESVILLE,VA,51540
370,CHATHAM,GA,13051
372,CHATTAHOOCHEE,GA,13053
376,CHAVES,NM,35005
377,CHEATHAM,TN,47021
378,CHELAN,WA,53007
382,CHEROKEE,GA,13057
388,CHEROKEE,SC,45021
391,CHESAPEAKE,VA,51550
392,CHESHIRE,NH,33005
393,CHESTER,PA,42029
395,CHESTERFIELD,SC,45025
396,CHESTERFIELD,VA,51041
409,CHITTENDEN,VT,50007
416,CHRISTIAN,KY,21047
418,CIBOLA,NM,35006
421,CITRUS,FL,12017
424,CLAIBORNE,MS,28021
428,CLARION,PA,42031
430,CLARK,IN,18019
432,CLARK,KY,21049
433,CLARK,NV,32003
434,CLARK,OH,39023
435,CLARK,WA,53011
438,CLARKE,GA,13059
441,CLATSOP,OR,41007
443,CLAY,FL,12019
449,CLAY,MO,29047
454,CLAYTON,GA,13063
456,CLEARFIELD,PA,42033
460,CLERMONT,OH,39025
461,CLEVELAND,NC,37045
462,CLEVELAND,OK,40027
467,CLINTON,MI,26037
470,CLINTON,OH,39027
471,CLINTON,PA,42035
475,COBB,GA,13067
480,CODINGTON,SD,46029
486,COLE,MO,29051
488,COLES,IL,17029
492,COLLIER,FL,12021
493,COLLIN,TX,48085
498,COLUMBIA,FL,12023
499,COLUMBIA,PA,42037
501,COLUMBIA,WI,55021
502,COLUMBIANA,OH,39029
503,COLUMBUS,NC,37047
505,COMAL,TX,48091
507,COMANCHE,OK,40031
508,COMANCHE,TX,48093
517,COOK,IL,17031
520,COOPER,MO,29053
521,COOS,NH,33007
526,CORYELL,TX,48099
531,COWETA,GA,13077
534,CRAIG,OK,40035
537,CRAVEN,NC,37049
544,CRAWFORD,OH,39033
545,CRAWFORD,PA,42039
547,CREEK,OK,40037
556,CROW WING,MN,27035
560,CULPEPER,VA,51047
562,CUMBERLAND,ME,23005
563,CUMBERLAND,NC,37051
564,CUMBERLAND,NJ,34011
565,CUMBERLAND,PA,42041
567,CUMING,NE,31039
568,CURRY,NM,35009
574,CUYAHOGA,OH,39035
575,DADE,GA,13083
576,DAKOTA,MN,27037
581,DALLAS,TX,48085
582,DALLAS,TX,48113
583,DALLAS,TX,48121
584,DANE,WI,55025
586,DANVILLE,VA,51590
587,DARE,NC,37055
589,DARLINGTON,SC,45031
590,DAUPHIN,PA,42043
591,DAVIDSON,NC,37057
592,DAVIDSON,TN,47037
593,DAVIE,NC,37059
594,DAVIESS,IN,18027
595,DAVIESS,KY,21059
597,DAVIS,UT,49011
598,DAVISON,SD,46035
615,DEKALB,GA,13089
616,DEKALB,IL,17037
620,DELAWARE,IN,18035
622,DELAWARE,OH,39041
623,DELAWARE,OK,40041
624,DELAWARE,PA,42045
627,DENTON,TX,48121
629,DES MOINES,IA,19057
630,DESCHUTES,OR,41017
632,DESOTO,FL,12027
633,DESOTO,MS,28033
645,DILLON,SC,45033
648,DISTRICT OF COLUMBIA,DC,11001
650,DODGE,NE,31053
651,DODGE,WI,55027
652,DONA ANA,NM,35013
655,DORCHESTER,MD,24019
656,DORCHESTER,SC,45035
657,DOUGHERTY,GA,13095
660,DOUGLAS,GA,13097
662,DOUGLAS,MN,27041
663,DOUGLAS,NE,31055
669,DUBOIS,IN,18037
670,DUBUQUE,IA,19061
676,DUPAGE,IL,17043
677,DUPLIN,NC,37061
678,DURHAM,NC,37063
680,DUVAL,FL,12031
681,DYER,TN,47045
684,EAST BATON ROUGE,LA,22033
690,ECTOR,TX,48135
691,EDDY,NM,35015
693,EDGECOMBE,NC,37065
698,EFFINGHAM,IL,17049
701,EL PASO,TX,48135
702,EL PASO,TX,48141
703,ELBERT,GA,13105
704,ELK,PA,42047
705,ELKHART,IN,18039
709,ELLIS,TX,48139
715,EMMET,MI,26047
720,ERIE,OH,39043
721,ERIE,PA,42049
723,ESCAMBIA,FL,12033
724,ESSEX,MA,25009
725,ESSEX,NJ,34013
727,ESSEX,VA,51057
733,FAIRFAX,VA,51059
735,FAIRFIELD,OH,39045
740,FANNIN,GA,13111
745,FAUQUIER,VA,51061
747,FAYETTE,GA,13113
750,FAYETTE,IN,18041
751,FAYETTE,KY,21067
753,FAYETTE,PA,42051
761,FINNEY,KS,20055
763,FLAGLER,FL,12035
766,FLORENCE,SC,45041
767,FLOYD,GA,13115
772,FOND DU LAC,WI,55039
776,FORSYTH,GA,13117
777,FORSYTH,NC,37067
778,FORT BEND,TX,48157
783,FRANKLIN,GA,13119
786,FRANKLIN,IL,17055
790,FRANKLIN,MA,25011
791,FRANKLIN,ME,23007
793,FRANKLIN,NC,37069
796,FRANKLIN,OH,39049
797,FRANKLIN,PA,42055
800,FRANKLIN,VA,51067
801,FRANKLIN,VT,50011
802,FRANKLIN,WA,53021
803,FRANKLIN CITY,VA,51620
804,FREDERICK,MD,24021
806,FREEBORN,MN,27047
814,FULTON,GA,13121
819,FULTON,OH,39051
822,GADSDEN,FL,12039
824,GALAX,VA,51640
825,GALLATIN,MT,30031
827,GALVESTON,TX,48167
835,GARRARD,KY,21079
836,GARRETT,MD,24023
837,GARVIN,OK,40049
839,GASTON,NC,37071
841,GEAUGA,OH,39055
843,GENESEE,MI,26049
847,GEORGETOWN,SC,45043
849,GIBSON,TN,47053
851,GILES,TN,47055
856,GLADWIN,MI,26051
858,GLOUCESTER,NJ,34015
859,GLOUCESTER,VA,51073
860,GLYNN,GA,13127
864,GORDON,GA,13129
867,GRADY,GA,13131
868,GRAFTON,NH,33009
873,GRAND FORKS,ND,38035
876,GRANT,IN,18053
884,GRANT,WI,55043
886,GRANVILLE,NC,37077
887,GRATIOT,MI,26057
892,GRAYSON,TX,48181
897,GREENBRIER,WV,54025
902,GREENE,IN,18055
903,GREENE,MO,29077
904,GREENE,MS,28041
906,GREENE,PA,42059
907,GREENE,TN,47059
909,GREENVILLE,SC,45045
911,GREENWOOD,SC,45047
913,GREGG,TX,48183
919,GRUNDY,IL,17063
922,GUADALUPE,TX,48187
925,GUERNSEY,OH,39059
926,GUILFORD,NC,37081
927,GULF,FL,12045
930,GWINNETT,GA,13135
932,HABERSHAM,GA,13137
934,HALE,TX,48189
935,HALIFAX,NC,37083
936,HALIFAX,VA,51083
937,HALL,GA,13139
939,HAMBLEN,TN,47063
942,HAMILTON,IN,18057
945,HAMILTON,OH,39061
946,HAMILTON,TN,47065
948,HAMPDEN,MA,25013
949,HAMPSHIRE,MA,25015
952,HAMPTON,VA,51650
955,HANCOCK,IN,18059
956,HANCOCK,ME,23009
958,HANCOCK,OH,39063
961,HANOVER,VA,51085
969,HARDIN,KY,21093
970,HARDIN,OH,39065
972,HARDIN,TX,48199
973,HARFORD,MD,24025
974,HARLAN,KY,21095
977,HARNETT,NC,37085
982,HARRIS,TX,48201
983,HARRIS,TX,48339
988,HARRISON,MS,28047
991,HARRISON,WV,54033
992,HARRISONBURG,VA,51660
993,HART,GA,13147
1001,HAWAII,HI,15001
1010,HENDERSON,TX,48213
1011,HENDRICKS,IN,18063
1013,HENNEPIN,MN,27053
1014,HENRICO,VA,51087
1015,HENRY,GA,13151
1016,HENRY,IA,19087
1017,HENRY,IL,17073
1018,HENRY,IN,18065
1020,HENRY,OH,39069
1023,HERNANDO,FL,12053
1024,HERTFORD,NC,37091
1025,HICKMAN,TN,47081
1026,HIDALGO,TX,48215
1028,HIGHLANDS,FL,12055
1031,HILLSBOROUGH,FL,12057
1032,HILLSBOROUGH,NH,33011
1033,HILLSDALE,MI,26059
1034,HINDS,MS,28049
1035,HOCKING,OH,39073
1038,HOKE,NC,37093
1039,HOLMES,MS,28051
1040,HOLMES,OH,39075
1042,HONOLULU,HI,15003
1045,HOPEWELL,VA,51670
1048,HORRY,SC,45051
1053,HOUSTON,GA,13153
1058,HOWARD,IN,18067
1059,HOWARD,MD,24027
1062,HOWELL,MO,29091
1064,HUDSON,NJ,34017
1068,HUMACAO,PR,72069
1075,HUNTERDON,NJ,34019
1076,HUNTINGDON,PA,42061
1079,HURON,OH,39077
1082,IBERIA,LA,22045
1088,INDIAN RIVER,FL,12061
1089,INDIANA,PA,42063
1090,INGHAM,MI,26065
1092,IONIA,MI,26067
1094,IOWA,IA,19095
1096,IREDELL,NC,37097
1104,ISLAND,WA,53029
1110,JACKSON,FL,12063
1113,JACKSON,IL,17077
1119,JACKSON,MO,29095
1121,JACKSON,NC,37099
1128,JAMES CITY,VA,51095
1131,JASPER,IN,18073
1132,JASPER,MO,29097
1143,JEFFERSON,IL,17081
1146,JEFFERSON,KY,21111
1147,JEFFERSON,LA,22051
1148,JEFFERSON,MO,29099
1152,JEFFERSON,OH,39081
1154,JEFFERSON,PA,42065
1156,JEFFERSON,TX,48245
1159,JEFFERSON,WV,54037
1160,JEFFERSON DAVIS,LA,22053
1163,JENNINGS,IN,18079
1165,JEROME,ID,16053
1166,JERSEY,IL,17083
1171,JOHNSON,IA,19103
1172,JOHNSON,IN,18081
1173,JOHNSON,KS,20091
1174,JOHNSON,KY,21115
1175,JOHNSON,MO,29101
1178,JOHNSON,TX,48251
1180,JOHNSTON,NC,37101
1183,JONES,MS,28067
1184,JONES,TX,48253
1185,JOSEPHINE,OR,41033
1189,KALAMAZOO,MI,26077
1190,KALKASKA,MI,26079
1192,KANAWHA,WV,54039
1194,KANE,IL,17089
1199,KAUFMAN,TX,48257
1203,KEITH,NE,31101
1204,KEMPER,MS,28067
1206,KENNEBEC,ME,23011
1207,KENOSHA,WI,55059
1208,KENT,DE,10001
1209,KENT,MD,24029
1210,KENT,MI,26081
1211,KENT,RI,44003
1212,KENTON,KY,21117
1215,KERR,TX,48265
1216,KERSHAW,SC,45055
1220,KING,WA,53033
1230,KITSAP,WA,53035
1237,KNOX,KY,21121
1238,KNOX,ME,23013
1240,KNOX,OH,39083
1241,KNOX,TN,47093
1245,KOOTENAI,ID,16055
1251,LA SALLE,IL,17099
1255,LACKAWANNA,PA,42069
1256,LACLEDE,MO,29105
1265,LAKE,FL,12069
1266,LAKE,IL,17097
1267,LAKE,IN,18089
1270,LAKE,OH,39085
1274,LAMAR,MS,28073
1275,LAMAR,TX,48277
1277,LAMOILLE,VT,50015
1279,LANCASTER,NE,31109
1280,LANCASTER,PA,42071
1282,LANCASTER,SC,45057
1286,LANE,OR,41039
1289,LAPEER,MI,26087
1297,LATIMER,OK,40077
1301,LAUREL,KY,21125
1302,LAURENS,GA,13175
